class_index,brand_id,model_id,brand_name,model_name,normalized_brand,normalized_model,image_count,years,minimum_year,maximum_year,unknown_year_images,suspicious_years,valid_labels,missing_labels,malformed_labels,invalid_bounding_boxes,viewpoint_unknown,viewpoint_1,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5
195,157,1918,Chevy,Volt,Chevy,Volt,120,2011;2012;2014;2015,2011,2015,0,,120,0,0,0,3,13,4,16,58,26
196,50,1125,Chrysler,Chrysler 200,Chrysler,200,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,23,10,25,33,29
197,50,1131,Chrysler,Chrysler 300C,Chrysler,300C,119,2006;2012;2013;2014,2006,2014,0,,119,0,0,0,0,17,14,32,32,24
198,50,1129,Chrysler,Chrysler 300C SRT,Chrysler,300C SRT,106,2008;2010;2012,2008,2012,0,,106,0,0,0,0,10,7,8,52,29
199,50,1126,Chrysler,Chrysler Delta,Chrysler,Delta,63,2012,2012,2012,0,,63,0,0,0,0,4,5,11,31,12
200,50,1132,Chrysler,Grand Voager,Chrysler,Grand Voager,90,2007;2012;2013;2014,2007,2014,0,,90,0,0,0,0,13,11,15,30,21
201,50,1123,Chrysler,Prowler,Chrysler,Prowler,63,2002;2011,2002,2011,0,,63,0,0,0,1,9,5,4,27,17
202,158,1264,Citroen,c-Elysee hatchback,Citroen,c-Elysee hatchback,52,2009;2010;2011,2009,2011,0,,52,0,0,0,0,9,7,6,16,14
203,158,1251,Citroen,c-Elysee sedan,Citroen,c-Elysee sedan,147,2008;2010;2011;2012;2013,2008,2013,0,,147,0,0,0,0,22,15,27,47,36
204,158,1270,Citroen,C-Zero,Citroen,C-Zero,81,2011;2012,2011,2012,0,,81,0,0,0,0,6,5,17,40,13
205,158,1285,Citroen,Citroen C1,Citroen,C1,120,2013;2015,2013,2015,0,,120,0,0,0,1,10,4,26,55,24
206,158,1257,Citroen,Citroen C2,Citroen,C2,118,2010;2012;2013,2010,2013,0,,118,0,0,0,0,16,15,23,36,28
207,158,1267,Citroen,Citroen C3,Citroen,C3,120,2004;2008;2010;2014,2004,2014,0,,120,0,0,0,6,9,2,21,46,36
208,158,1269,Citroen,C3 Picasso,Citroen,C3 Picasso,72,2009;2012,2009,2012,5,,72,0,0,0,0,9,6,8,35,14
209,158,1266,Citroen,Citroen C4,Citroen,C4,119,2006;2009;2011;2013;2015,2006,2015,0,,119,0,0,0,0,10,9,19,50,31
210,158,1265,Citroen,C4 Aircross,Citroen,C4 Aircross,119,2012;2013,2012,2013,0,,119,0,0,0,0,20,12,11,44,32
211,158,1258,Citroen,Citroen C4L,Citroen,C4L,120,2013;2014,2013,2014,0,,120,0,0,0,0,19,12,19,43,27
212,158,1259,Citroen,Citroen C5,Citroen,C5,171,2009;2010;2011;2012;2013;2014,2009,2014,0,,171,0,0,0,0,24,18,33,50,46
213,158,1284,Citroen,Cactus,Citroen,Cactus,118,2013;2014,2013,2014,0,,118,0,0,0,6,15,4,26,40,27
214,158,1253,Citroen,Elysee,Citroen,Elysee,120,2013;2014,2013,2014,0,,120,0,0,0,0,14,15,28,34,29
215,158,1287,Citroen,Grand C4 Picasso,Citroen,Grand C4 Picasso,120,2009;2011;2014,2009,2014,0,,120,0,0,0,1,11,10,19,43,36
216,158,1283,Citroen,Citroen GT,Citroen,GT,75,2008,2008,2008,0,,75,0,0,0,5,16,6,16,16,16
217,158,1254,Citroen,Quatre Cross,Citroen,Quatre Cross,62,2013,2013,2013,0,,62,0,0,0,0,7,6,10,22,17
218,158,1255,Citroen,Quatre hatchback,Citroen,Quatre hatchback,118,2008;2010;2011;2012;2013,2008,2013,0,,118,0,0,0,0,19,14,18,43,24
219,158,1256,Citroen,Quatre sedan,Citroen,Quatre sedan,142,2009;2010;2011;2012;2013;2014,2009,2014,0,,142,0,0,0,0,23,18,28,38,35
220,158,1279,Citroen,Survolt,Citroen,Survolt,56,2010;2011,2010,2011,0,,56,0,0,0,3,6,6,8,20,13
221,158,1252,Citroen,Triomphe,Citroen,Triomphe,118,2006;2008;2010,2006,2010,0,,118,0,0,0,0,21,18,21,35,23
222,5,1039,Dacia,Dokker,Dacia,Dokker,62,2013,2013,2013,0,,62,0,0,0,0,9,5,16,21,11
223,5,1040,Dacia,Duster,Dacia,Duster,120,2009;2011;2014,2009,2014,0,,120,0,0,0,3,4,0,21,65,27
224,5,1041,Dacia,Logan,Dacia,Logan,120,2005;2006;2007;2013;2014,2005,2014,0,,120,0,0,0,4,4,3,26,48,35
225,5,1042,Dacia,Sandero,Dacia,Sandero,97,2009;2010;2013,2009,2013,0,,97,0,0,0,2,1,1,12,54,27
226,74,1296,Daihatsu,Xenia,Daihatsu,Xenia,50,2007;2008,2007,2008,0,,50,0,0,0,0,7,4,6,24,9
227,145,521,Dodge,Avenger,Dodge,Avenger,109,2007;2008;2011;2013;2014,2007,2014,0,,109,0,0,0,0,12,8,7,54,28
228,145,532,Dodge,Caliber,Dodge,Caliber,132,2008;2009;2010;2011,2008,2011,0,,132,0,0,0,0,21,16,19,45,31
229,145,519,Dodge,Challenger,Dodge,Challenger,120,2011;2014;2015,2011,2015,0,,120,0,0,0,3,22,10,14,42,29
230,145,530,Dodge,Challenger SRT,Dodge,Challenger SRT,120,2012;2015,2012,2015,0,,120,0,0,0,0,13,6,12,59,30
231,145,523,Dodge,Charger,Dodge,Charger,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,1,21,11,11,47,29
232,145,529,Dodge,Charger SRT,Dodge,Charger SRT,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,1,12,7,11,59,30
233,145,522,Dodge,Dart,Dodge,Dart,120,2013;2014,2013,2014,0,,120,0,0,0,0,15,10,13,48,34
234,145,520,Dodge,Durango,Dodge,Durango,120,2011;2014,2011,2014,0,,120,0,0,0,0,12,6,13,63,26
235,145,518,Dodge,Journey,Dodge,Journey,120,2009;2010;2011;2013;2014,2009,2014,0,,120,0,0,0,1,20,11,19,38,31
236,145,517,Dodge,Ram,Dodge,Ram,58,2012;2013;2014,2012,2014,0,,58,0,0,0,0,6,2,9,28,13
237,145,526,Dodge,Rampage,Dodge,Rampage,113,2006;2011;2013;2014;2015,2006,2015,0,,113,0,0,0,0,15,8,13,51,26
238,145,524,Dodge,Viper,Dodge,Viper,120,2013;2014;2015,2013,2015,0,,120,0,0,0,5,18,5,10,51,31
239,4,512,DS,DS 3,DS,3,120,2012;2013;2014;2015,2012,2015,0,,119,0,0,1,7,14,11,24,36,27
240,4,516,DS,DS 4,DS,4,120,2012,2012,2012,0,,120,0,0,0,0,13,8,29,37,33
241,4,509,DS,DS 5,DS,5,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,17,17,25,37,24
242,4,511,DS,DS 5LS,DS,5LS,119,2014,2014,2014,0,,119,0,0,0,0,25,13,20,38,23
243,4,510,DS,DS 6,DS,6,120,2014,2014,2014,0,,120,0,0,0,0,17,14,22,43,24
244,112,663,Ferrari,Ferrari 458,Ferrari,458,120,2010;2011;2013;2014;2015,2010,2015,0,,120,0,0,0,3,14,10,33,36,24
245,112,664,Ferrari,Ferrari 599,Ferrari,599,88,2010;2011,2010,2011,0,,88,0,0,0,3,21,2,12,39,11
246,112,662,Ferrari,California,Ferrari,California,120,2009;2012;2015,2009,2015,0,,120,0,0,0,1,17,4,36,45,17
247,112,670,Ferrari,F12berlinetta,Ferrari,F12berlinetta,120,2013;2014;2015,2013,2015,0,,120,0,0,0,2,13,15,20,43,27
248,112,667,Ferrari,Ferrari FF,Ferrari,FF,120,2012,2012,2012,0,,120,0,0,0,2,19,13,10,56,20
249,112,668,Ferrari,LaFerrari,Ferrari,LaFerrari,120,2013;2014;2015,2013,2015,0,,120,0,0,0,3,25,11,19,35,27
250,112,669,Ferrari,Sergio,Ferrari,Sergio,81,2013;2015,2013,2015,0,,81,0,0,0,4,7,12,27,17,14
251,134,661,FIAT,FIAT 500,FIAT,500,116,2009;2011;2012;2013;2014;2015,2009,2015,0,,116,0,0,0,0,18,13,16,42,27
252,134,653,FIAT,FIAT 500L,FIAT,500L,120,2013;2014,2013,2014,0,,120,0,0,0,0,8,4,26,58,24
253,134,645,FIAT,Bravo,FIAT,Bravo,120,2008;2009;2011;2013,2008,2013,0,,120,0,0,0,0,20,13,15,44,28
254,134,651,FIAT,Doblo,FIAT,Doblo,105,2005;2010;2015,2005,2015,20,,105,0,0,0,0,3,2,16,58,26
255,134,641,FIAT,Feixiang,FIAT,Feixiang,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,22,17,19,34,28
256,134,650,FIAT,FIAT Fiorino Qubo,FIAT,Fiorino Qubo,59,2009,2009,2009,30,,59,0,0,0,0,7,3,12,24,13
257,134,647,FIAT,Freemont,FIAT,Freemont,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,18,12,21,42,27
258,134,654,FIAT,FIAT Idea,FIAT,Idea,120,2011;2014,2011,2014,0,,120,0,0,0,0,11,7,17,43,42
259,134,648,FIAT,Linea,FIAT,Linea,67,2008,2008,2008,0,,67,0,0,0,1,9,6,10,27,14
260,134,643,FIAT,Palio,FIAT,Palio,77,2004;2005;2006;2012,2004,2012,0,,77,0,0,0,0,5,5,14,36,17
261,134,655,FIAT,FIAT Panda,FIAT,Panda,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,14,2,17,70,17
262,134,649,FIAT,Punto,FIAT,Punto,120,2008;2011;2012,2008,2012,0,,120,0,0,0,0,19,11,12,49,29
263,134,657,FIAT,FIAT Uno,FIAT,Uno,111,2011;2015,2011,2015,0,,111,0,0,0,2,6,5,22,45,31
264,134,642,FIAT,Zhiyue,FIAT,Zhiyue,120,2014;2015,2014,2015,0,,120,0,0,0,0,22,14,23,33,28
265,6,1777,Fisker,Karma,Fisker,Karma,87,2013,2013,2013,0,,87,0,0,0,0,10,7,6,55,9
266,6,1774,Fisker,Surf,Fisker,Surf,54,2011,2011,2011,0,,54,0,0,0,0,4,6,17,10,17
267,122,618,Ford,Ford B-MAX,Ford,B-MAX,53,2011;2013,2011,2013,0,,53,0,0,0,2,3,1,9,18,20
268,122,619,Ford,Ford C-MAX,Ford,C-MAX,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,7,5,18,58,32
269,122,587,Ford,Classic Focus hatchback,Ford,Classic Focus hatchback,98,2008;2011;2012;2013,2008,2013,0,,98,0,0,0,0,17,12,19,30,20
270,122,588,Ford,Classic Focus sedan,Ford,Classic Focus sedan,118,2008;2011;2012;2013,2008,2013,0,,118,0,0,0,0,21,14,22,35,26
271,122,593,Ford,Ecosport,Ford,Ecosport,120,2012;2013,2012,2013,0,,120,0,0,0,0,17,12,22,42,27
272,122,606,Ford,Edge,Ford,Edge,120,2010;2011;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,0,13,18,22,45,22
273,122,585,Ford,escort,Ford,escort,120,2014;2015,2014,2015,0,,120,0,0,0,1,21,13,21,33,31
274,122,632,Ford,Expedition,Ford,Expedition,117,2012;2014;2015,2012,2015,0,,117,0,0,0,2,6,4,16,66,23
275,122,607,Ford,Explorer,Ford,Explorer,120,2011;2013;2016,2011,2016,0,,120,0,0,0,0,9,8,21,52,30
276,122,601,Ford,Ford F-150,Ford,F-150,119,2012;2013;2014;2015;2016,2012,2016,0,,119,0,0,0,3,16,10,25,41,24
277,122,603,Ford,Ford F-350,Ford,F-350,52,2011;2013;2014,2011,2014,0,,52,0,0,0,0,7,7,7,17,14
278,122,604,Ford,Ford F-650,Ford,F-650,51,2011;2013;2014,2011,2014,0,,51,0,0,0,0,7,5,8,19,12
279,146,1745,Mustang,Mustang F12,Ford,F12,104,2011;2012;2014,2011,2014,0,,104,0,0,0,0,17,13,19,30,25
280,146,1739,Mustang,Mustang F16,Ford,F16,52,2011;2014,2011,2014,0,,52,0,0,0,1,10,6,8,15,12
281,146,1740,Mustang,Mustang F99,Ford,F99,91,2009;2010;2012,2009,2012,0,,91,0,0,0,0,14,8,10,45,14
282,122,622,Ford,Falcon,Ford,Falcon,120,2008;2014,2008,2014,0,,120,0,0,0,0,13,4,9,74,20
283,122,597,Ford,Fiesta hatchback,Ford,Fiesta hatchback,128,2009;2010;2011;2012;2013;2014,2009,2014,0,,128,0,0,0,0,22,16,25,32,33
284,122,586,Ford,Fiesta sedan,Ford,Fiesta sedan,162,2009;2010;2011;2013,2009,2013,0,,162,0,0,0,1,29,17,26,52,37
285,122,605,Ford,Fiesta ST,Ford,Fiesta ST,63,2013,2013,2013,0,,63,0,0,0,0,8,9,15,14,17
286,122,610,Ford,Ford Flex,Ford,Flex,120,2004;2009;2013,2004,2013,0,,120,0,0,0,2,10,9,19,54,26
287,122,600,Ford,Focus ST,Ford,Focus ST,105,2012;2013;2014,2012,2014,0,,105,0,0,0,0,12,11,19,39,24
288,122,613,Ford,Ford Fusion,Ford,Fusion,120,2010;2013,2010,2013,0,,120,0,0,0,0,12,4,23,53,28
289,122,609,Ford,Ford Ka,Ford,Ka,108,2008;2011,2008,2011,0,,108,0,0,0,2,2,0,21,56,27
290,122,594,Ford,Kuga,Ford,Kuga,120,2008;2010;2013;2014;2015,2008,2015,0,,120,0,0,0,0,14,10,22,47,27
291,122,596,Ford,Mendeo,Ford,Mendeo,120,2013,2013,2013,0,,120,0,0,0,0,18,14,26,41,21
292,122,595,Ford,Mendeo Zhisheng,Ford,Mendeo Zhisheng,120,2010;2011;2012;2013,2010,2013,0,,120,0,0,0,0,18,15,25,42,20
293,122,608,Ford,Mustang,Ford,Mustang,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,15,15,29,29,32
294,122,590,Ford,New Focus hatchback,Ford,New Focus hatchback,214,2006;2007;2009;2011;2012;2013,2006,2013,0,,214,0,0,0,0,36,27,36,68,47
295,122,591,Ford,New Focus sedan,Ford,New Focus sedan,151,2005;2009;2011;2012;2013,2005,2013,0,,151,0,0,0,0,21,18,28,49,35
296,122,624,Ford,Ranger,Ford,Ranger,55,2008;2012,2008,2012,0,,55,0,0,0,0,1,1,3,40,10
297,122,589,Ford,S-MAX,Ford,S-MAX,98,2007;2008;2011;2013;2014;2015,2007,2015,0,,98,0,0,0,0,19,5,12,38,24
298,122,633,Ford,Super Duty,Ford,Super Duty,108,2013;2015,2013,2015,0,,108,0,0,0,0,7,1,8,69,23
299,122,625,Ford,Territory,Ford,Territory,120,2011;2012;2014,2011,2014,0,,120,0,0,0,0,14,3,15,56,32
300,122,599,Ford,Transit,Ford,Transit,91,2009;2010;2013;2014,2009,2014,0,,91,0,0,0,0,12,11,16,34,18
301,122,617,Ford,Ford Transit,Ford,Transit,80,2013;2014,2013,2014,0,,80,0,0,0,2,4,1,16,41,16
302,69,1486,Geely,Classic Imperial hatchback,Geely,Classic Imperial hatchback,138,2009;2010;2011;2012;2013,2009,2013,0,,138,0,0,0,0,22,14,21,50,31
303,69,1487,Geely,Classic Imperial sedan,Geely,Classic Imperial sedan,101,2009;2010;2012;2013,2009,2013,0,,101,0,0,0,0,16,12,18,31,24
304,69,1509,Geely,Geely EC8,Geely,EC8,116,2010;2011;2013;2015,2010,2015,0,,116,0,0,0,0,15,11,19,47,24
305,69,1472,Geely,Geely GC7,Geely,GC7,118,2012;2013,2012,2013,0,,118,0,0,0,0,20,14,15,44,25
306,69,1507,Geely,Geely GC9,Geely,GC9,52,2014;2015,2014,2015,0,,52,0,0,0,0,9,7,10,13,13
307,69,1473,Geely,Geely GX2,Geely,GX2,111,2010;2011;2012,2010,2012,0,,111,0,0,0,0,13,12,20,39,27
308,69,1474,Geely,Geely GX7,Geely,GX7,119,2012;2013;2014;2015,2012,2015,0,,119,0,0,0,0,11,16,29,39,24
309,69,1488,Geely,Imperial hatchback,Geely,Imperial hatchback,60,2013;2014,2013,2014,0,,60,0,0,0,0,7,7,8,19,19
310,69,1484,Geely,Jinying,Geely,Jinying,78,2008;2010,2008,2010,0,,78,0,0,0,0,10,6,9,37,16
311,69,1481,Geely,King Kong CROSS,Geely,King Kong CROSS,61,2011;2014,2011,2014,0,,61,0,0,0,0,7,4,12,25,13
312,69,1483,Geely,King Kong sedan,Geely,King Kong sedan,106,2007;2009;2010;2011;2013;2014,2007,2014,0,,106,0,0,0,0,21,11,17,37,20
313,69,1490,Geely,Panda,Geely,Panda,120,2009;2010;2011;2013;2014,2009,2014,0,,120,0,0,0,0,23,16,19,38,24
314,69,1475,Geely,Geely SC3,Geely,SC3,125,2012;2014,2012,2014,0,,125,0,0,0,0,19,15,23,41,27
315,69,1476,Geely,Geely SC5-RV,Geely,SC5-RV,96,2010;2011,2010,2011,0,,96,0,0,0,0,13,9,14,34,26
316,69,1478,Geely,Geely SC7,Geely,SC7,53,2010;2011;2012;2014,2010,2014,0,,53,0,0,0,0,7,6,8,20,12
317,69,1479,Geely,Geely SX7,Geely,SX7,112,2013;2014,2013,2014,0,,112,0,0,0,0,15,13,24,33,27
318,69,1480,Geely,Geely TX4,Geely,TX4,120,2009;2012,2009,2012,0,,120,0,0,0,0,17,11,17,56,19
319,69,1492,Geely,Vision,Geely,Vision,120,2006;2009;2010;2011;2013;2014;2015,2006,2015,0,,120,0,0,0,0,16,11,15,55,23
320,69,1494,Geely,Ziyoujian,Geely,Ziyoujian,119,2006;2010;2011;2012;2015,2006,2015,0,,119,0,0,0,0,21,10,13,51,24
321,7,685,GMC,Acadia,GMC,Acadia,79,2007;2011;2013,2007,2013,0,,79,0,0,0,0,10,8,11,32,18
322,7,686,GMC,GMC CANYON,GMC,CANYON,56,2015,2015,2015,0,,56,0,0,0,0,7,2,3,31,13
323,7,687,GMC,Savana,GMC,Savana,117,2006;2010;2011;2012;2013;2014,2006,2014,0,,117,0,0,0,0,20,14,13,38,32
324,7,684,GMC,Sierra,GMC,Sierra,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,11,6,14,56,33
325,7,683,GMC,Terrain,GMC,Terrain,111,2010;2012;2013;2014,2010,2014,0,,111,0,0,0,0,11,11,18,40,31
326,7,682,GMC,Yukon,GMC,Yukon,120,2007;2008;2013;2015,2007,2015,0,,120,0,0,0,0,14,6,14,60,26
327,150,377,GreatWall,Great Wall C20R,GreatWall,Great Wall C20R,120,2011;2013;2014,2011,2014,0,,120,0,0,0,1,12,16,19,39,33
328,150,396,GreatWall,Great Wall C30,GreatWall,Great Wall C30,120,2010;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,0,22,21,23,29,25
329,150,378,GreatWall,Great Wall C50,GreatWall,Great Wall C50,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,20,19,23,34,24
330,150,379,GreatWall,Great Wall M1,GreatWall,Great Wall M1,94,2009;2010,2009,2010,0,,94,0,0,0,0,15,10,15,33,21
331,150,380,GreatWall,Great Wall M2,GreatWall,Great Wall M2,120,2010;2012;2013;2014,2010,2014,0,,120,0,0,0,0,20,14,19,41,26
332,150,381,GreatWall,Great Wall M4,GreatWall,Great Wall M4,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,16,18,24,33,29
333,150,382,GreatWall,Great Wall V80,GreatWall,Great Wall V80,118,2009;2011;2012;2013,2009,2013,0,,118,0,0,0,0,14,11,16,50,27
334,150,387,GreatWall,Jingling,GreatWall,Jingling,78,2008;2009,2008,2009,0,,78,0,0,0,0,11,8,11,29,19
335,150,388,GreatWall,Kuxiong,GreatWall,Kuxiong,109,2009;2010,2009,2010,0,,109,0,0,0,1,19,12,16,39,22
336,150,389,GreatWall,Lingao,GreatWall,Lingao,110,2010;2011,2010,2011,0,,110,0,0,0,0,13,11,9,48,29
337,150,384,GreatWall,Wingle 5,GreatWall,Wingle 5,113,2011;2012;2013,2011,2013,0,,113,0,0,0,0,20,13,18,40,22
338,150,385,GreatWall,Wingle 6,GreatWall,Wingle 6,117,2014,2014,2014,0,,117,0,0,0,1,16,15,23,34,28
339,150,391,GreatWall,Xuanli,GreatWall,Xuanli,114,2008;2009;2010;2011,2008,2011,0,,114,0,0,0,0,18,12,12,45,27
340,150,392,GreatWall,Xuanli CROSS,GreatWall,Xuanli CROSS,117,2009;2010;2011,2009,2011,0,,117,0,0,0,0,16,14,26,36,25
341,71,699,Haval,Haval H2,Haval,H2,119,2012;2014,2012,2014,0,,119,0,0,0,0,20,15,21,38,25
342,71,688,Haval,Haval H3,Haval,H3,140,2007;2008;2009;2010;2012,2007,2012,0,,140,0,0,0,0,27,14,22,49,28
343,71,689,Haval,Haval H5,Haval,H5,131,2010;2011;2012;2013,2010,2013,0,,131,0,0,0,0,20,13,20,49,29
344,71,690,Haval,Haval H6,Haval,H6,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,21,17,18,34,30
345,71,691,Haval,Haval H8,Haval,H8,143,2012;2013;2014,2012,2014,0,,143,0,0,0,0,27,17,25,45,29
346,100,213,Honda,Accord,Honda,Accord,148,2010;2011;2012;2013;2014,2010,2014,0,,148,0,0,0,2,24,12,22,57,31
347,100,210,Honda,City,Honda,City,120,2009;2011;2012;2014,2009,2014,0,,120,0,0,0,0,23,13,15,44,25
348,100,251,Honda,Civic,Honda,Civic,160,2009;2012;2013;2014;2015,2009,2015,0,,160,0,0,0,0,29,19,27,53,32
349,100,252,Honda,Honda CR-V,Honda,CR-V,120,2010;2012;2013,2010,2013,0,,120,0,0,0,0,20,13,22,44,21
350,100,216,Honda,Honda CR-Z,Honda,CR-Z,120,2010;2012;2013,2010,2013,0,,120,0,0,0,0,15,9,22,49,25
351,100,212,Honda,Crider,Honda,Crider,118,2013;2015,2013,2015,0,,118,0,0,0,0,18,9,28,37,26
352,100,211,Honda,Crosstour,Honda,Crosstour,120,2011;2012;2013;2014,2011,2014,0,,120,0,0,0,0,18,16,21,36,29
353,100,248,Honda,Elysion,Honda,Elysion,120,2012;2013;2015,2012,2015,0,,120,0,0,0,0,18,14,21,40,27
354,100,232,Honda,Honda FCX,Honda,FCX,88,2010,2010,2010,0,,88,0,0,0,0,8,6,14,41,19
355,100,215,Honda,Fit,Honda,Fit,150,2008;2011;2013;2014,2008,2014,0,,150,0,0,0,0,21,18,23,52,36
356,100,243,Honda,Honda HR-V,Honda,HR-V,101,2014;2015;2016,2014,2016,0,,101,0,0,0,1,8,8,14,38,32
357,100,247,Honda,Honda Insight,Honda,Insight,120,2010;2012;2013,2010,2013,0,,120,0,0,0,0,14,6,13,64,23
358,100,249,Honda,Jade,Honda,Jade,119,2013;2014,2013,2014,0,,119,0,0,0,1,19,18,17,37,27
359,100,226,Honda,Honda NSX,Honda,NSX,93,2002;2003;2012;2015,2002,2015,0,,93,0,0,0,0,12,6,9,45,21
360,100,209,Honda,Odyssey,Honda,Odyssey,121,2009;2011;2013;2014;2015,2009,2015,0,,121,0,0,0,0,18,17,22,32,32
361,100,235,Honda,Honda ONE,Honda,ONE,56,2013,2013,2013,0,,56,0,0,0,0,2,2,5,42,5
362,100,221,Honda,Honda S2000,Honda,S2000,54,2009,2009,2009,30,,54,0,0,0,0,5,5,7,19,18
363,100,250,Honda,Spirior,Honda,Spirior,117,2009;2013;2014;2015,2009,2015,0,,117,0,0,0,0,24,16,16,39,22
364,100,214,Honda,Vezel,Honda,Vezel,120,2015,2015,2015,0,,120,0,0,0,0,16,14,21,41,28
365,118,966,Hyundai,Accent,Hyundai,Accent,104,2006;2008;2011,2006,2011,0,,104,0,0,0,1,15,8,10,45,25
366,118,1001,Hyundai,Accent abroad version,Hyundai,Accent abroad version,74,2010;2012;2014;2015,2010,2015,0,,74,0,0,0,2,4,1,10,41,16
367,118,957,Hyundai,Avante,Hyundai,Avante,118,2012;2013;2015,2012,2015,0,,118,0,0,0,0,22,16,20,34,26
368,118,967,Hyundai,Elantra,Hyundai,Elantra,146,2004;2005;2006;2007;2011,2004,2011,0,,146,0,0,0,0,21,17,30,44,34
369,118,1002,Hyundai,Elantra abroad version,Hyundai,Elantra abroad version,120,2013;2014;2016,2013,2016,0,,120,0,0,0,0,12,10,21,46,31
370,118,968,Hyundai,Elantra Yuedong,Hyundai,Elantra Yuedong,118,2010;2011,2010,2011,0,,118,0,0,0,2,22,12,23,34,25
371,118,980,Hyundai,Equus,Hyundai,Equus,120,2009;2010;2012;2014,2009,2014,0,,120,0,0,0,0,17,6,18,48,31
372,118,975,Hyundai,Genesis,Hyundai,Genesis,119,2015,2015,2015,0,,119,0,0,0,0,11,12,20,46,30
373,118,973,Hyundai,Grand SantaFe,Hyundai,Grand SantaFe,119,2013,2013,2013,0,,119,0,0,0,0,19,15,13,39,33
374,118,981,Hyundai,Grandeur,Hyundai,Grandeur,119,2010;2011;2012;2014;2015,2010,2015,0,,119,0,0,0,0,15,15,11,48,30
375,118,987,Hyundai,i10,Hyundai,i10,120,2011;2013;2014,2011,2014,0,,120,0,0,0,0,13,4,17,55,31
376,118,982,Hyundai,i20,Hyundai,i20,120,2009;2013;2015,2009,2015,0,,120,0,0,0,0,8,5,26,52,29
377,118,955,Hyundai,i30,Hyundai,i30,82,2007;2009;2013,2007,2013,0,,82,0,0,0,0,12,10,13,26,21
378,118,984,Hyundai,i40,Hyundai,i40,120,2012;2014;2015,2012,2015,0,,120,0,0,0,0,11,9,21,50,29
379,118,997,Hyundai,ix20,Hyundai,ix20,58,2011;2013;2015,2011,2015,0,,58,0,0,0,1,7,4,8,24,14
380,118,971,Hyundai,ix25,Hyundai,ix25,119,2014;2015,2014,2015,0,,119,0,0,0,0,20,14,19,39,27
381,118,956,Hyundai,ix35,Hyundai,ix35,119,2010;2012;2013;2015,2010,2015,0,,119,0,0,0,0,26,16,17,37,23
382,118,959,Hyundai,Mistra,Hyundai,Mistra,120,2013;2014,2013,2014,0,,120,0,0,0,0,15,16,15,48,26
383,118,960,Hyundai,Moinca,Hyundai,Moinca,89,2009,2009,2009,0,,89,0,0,0,0,16,15,9,30,19
384,118,996,Hyundai,Nuvis,Hyundai,Nuvis,50,2009,2009,2009,0,,50,0,0,0,0,2,0,22,14,12
385,118,962,Hyundai,Rena,Hyundai,Rena,120,2010;2014,2010,2014,0,,120,0,0,0,0,20,9,20,45,26
386,118,976,Hyundai,Rohens,Hyundai,Rohens,118,2008;2010;2011;2012;2013,2008,2013,0,,118,0,0,0,0,16,7,21,49,25
387,118,977,Hyundai,Rohens Coupe,Hyundai,Rohens Coupe,119,2009;2012,2009,2012,0,,119,0,0,0,0,15,14,20,39,31
388,118,961,Hyundai,Santafe,Hyundai,Santafe,130,2008;2010;2011;2012;2013,2008,2013,0,,130,0,0,0,0,24,13,19,47,27
389,118,958,Hyundai,Sonata,Hyundai,Sonata,132,2008;2009,2008,2009,0,,132,0,0,0,0,23,11,16,60,22
390,118,964,Hyundai,Sonata 8,Hyundai,Sonata 8,120,2010;2011;2013;2014,2010,2014,0,,120,0,0,0,0,17,15,17,39,32
391,118,1000,Hyundai,Sonata abroad version,Hyundai,Sonata abroad version,52,2011;2014;2015,2011,2015,0,,52,0,0,0,0,4,2,15,25,6
392,118,965,Hyundai,Tucson,Hyundai,Tucson,119,2006;2009;2013,2006,2013,0,,119,0,0,0,0,12,9,12,57,29
393,118,983,Hyundai,Tucson abroad vresion,Hyundai,Tucson abroad vresion,94,2005;2010;2013;2014;2015,2005,2015,0,,94,0,0,0,0,9,7,19,30,29
394,118,1004,Hyundai,Veloster,Hyundai,Veloster,120,2011;2012;2014;2016,2011,2016,0,,120,0,0,0,0,13,9,19,50,29
395,118,979,Hyundai,Veracruz,Hyundai,Veracruz,101,2007;2009;2010;2011;2012,2007,2012,0,,101,0,0,0,3,16,10,8,39,25
396,118,963,Hyundai,Verna,Hyundai,Verna,120,2011;2014,2011,2014,0,,120,0,0,0,0,16,16,18,39,31
397,118,974,Hyundai,Wagon,Hyundai,Wagon,108,2011,2011,2011,0,,108,0,0,0,0,13,13,13,42,27
